Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Sudeste,  17.684.138 ,  18.113.423 ,  18.521.916 ,  18.825.122 ,  18.240.192 ,  18.212.704 ,  17.936.477 ,  18.656.632 ,  18.980.234 ,  18.818.098 ,  18.709.507 ,  19.306.259 ,  222.004.702 
Sul,  5.798.706 ,  5.979.347 ,  6.199.985 ,  5.982.263 ,  5.730.901 ,  5.652.619 ,  5.706.940 ,  5.755.499 ,  5.711.563 ,  5.628.306 ,  5.758.556 ,  6.029.231 ,  69.933.916 
Centro-Oeste,  2.072.325 ,  2.070.746 ,  2.168.697 ,  2.188.420 ,  2.190.813 ,  2.200.172 ,  2.165.862 ,  2.239.532 ,  2.314.269 ,  2.293.579 ,  2.211.426 ,  2.194.639 ,  26.310.480 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  530.185 ,  522.360 ,  519.974 ,  569.974 ,  555.372 ,  572.783 ,  549.102 ,  583.301 ,  609.370 ,  617.640 ,  607.895 ,  583.777 ,  6.821.731 
Norte,  2.304.691 ,  2.153.625 ,  2.347.780 ,  2.309.802 ,  2.373.574 ,  2.369.141 ,  2.407.663 ,  2.452.133 ,  2.439.170 ,  2.485.835 ,  2.419.808 ,  2.455.639 ,  28.518.861 
Nordeste,  4.776.266 ,  4.706.249 ,  5.165.046 ,  4.940.166 ,  4.997.391 ,  4.958.753 ,  4.872.636 ,  4.825.434 ,  4.909.409 ,  5.106.765 ,  5.144.191 ,  5.169.293 ,  59.571.599 
Sudeste/C.Oeste,  19.950.612 ,  20.368.177 ,  20.884.097 ,  21.223.655 ,  20.639.740 ,  20.616.163 ,  20.313.008 ,  21.097.027 ,  21.512.760 ,  21.350.379 ,  21.147.532 ,  21.718.500 ,  250.821.650 
Sul,  5.798.706 ,  5.979.347 ,  6.199.985 ,  5.982.263 ,  5.730.901 ,  5.652.619 ,  5.706.940 ,  5.755.499 ,  5.711.563 ,  5.628.306 ,  5.758.556 ,  6.029.231 ,  69.933.916 
,,,,,,,,,,,,,
,2009,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  30.666.662 ,  30.495.143 ,  31.977.750 ,  32.042.793 ,  30.945.453 ,  30.715.170 ,  31.324.991 ,  32.262.206 ,  32.716.666 ,  33.419.533 ,  33.616.820 ,  34.123.195 ,  384.306.380 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.981.913 ,  1.804.162 ,  1.882.490 ,  1.919.027 ,  1.923.559 ,  1.993.823 ,  2.023.693 ,  2.074.891 ,  2.089.534 ,  2.135.822 ,  2.132.369 ,  2.121.716 ,  24.082.999 
Nordeste,  5.340.331 ,  5.098.685 ,  5.391.003 ,  5.307.847 ,  5.189.806 ,  5.122.496 ,  5.257.360 ,  5.501.276 ,  5.581.245 ,  5.779.775 ,  5.705.872 ,  5.968.068 ,  65.243.764 
Sudeste,  16.124.348 ,  16.190.533 ,  16.931.565 ,  17.027.530 ,  16.500.151 ,  16.330.119 ,  16.655.879 ,  17.158.443 ,  17.516.988 ,  17.858.520 ,  18.058.927 ,  18.201.962 ,  204.554.966 
Sul,  5.279.472 ,  5.465.140 ,  5.742.612 ,  5.671.556 ,  5.266.440 ,  5.261.043 ,  5.315.045 ,  5.392.188 ,  5.362.624 ,  5.440.950 ,  5.591.816 ,  5.739.383 ,  65.528.269 
Centro-Oeste,  1.940.598 ,  1.936.623 ,  2.030.080 ,  2.116.833 ,  2.065.497 ,  2.007.689 ,  2.073.014 ,  2.135.408 ,  2.166.275 ,  2.204.466 ,  2.127.836 ,  2.092.066 ,  24.896.383 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  660.399 ,  641.064 ,  642.350 ,  662.345 ,  678.973 ,  681.152 ,  678.137 ,  739.357 ,  760.014 ,  783.998 ,  578.759 ,  568.805 ,  8.075.353 
Norte,  2.258.573 ,  1.979.238 ,  2.109.772 ,  2.106.575 ,  2.150.750 ,  2.182.941 ,  2.254.448 ,  2.279.943 ,  2.271.616 ,  2.310.492 ,  2.287.224 ,  2.292.493 ,  26.484.065 
Nordeste,  4.411.351 ,  4.290.763 ,  4.528.036 ,  4.464.527 ,  4.290.163 ,  4.259.862 ,  4.354.335 ,  4.563.834 ,  4.646.286 ,  4.828.396 ,  4.770.153 ,  5.031.179 ,  54.438.885 
Sudeste/C.Oeste,  18.056.867 ,  18.118.938 ,  18.954.980 ,  19.137.790 ,  18.559.127 ,  18.330.172 ,  18.723.026 ,  19.286.884 ,  19.676.126 ,  20.055.697 ,  20.388.868 ,  20.491.335 ,  229.779.808 
Sul,  5.279.472 ,  5.465.140 ,  5.742.612 ,  5.671.556 ,  5.266.440 ,  5.261.043 ,  5.315.045 ,  5.392.188 ,  5.362.624 ,  5.440.950 ,  5.591.816 ,  5.739.383 ,  65.528.269 
,,,,,,,,,,,,,
,2008,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  31.855.946 ,  31.730.941 ,  32.118.715 ,  31.952.656 ,  32.299.963 ,  31.742.988 ,  32.150.352 ,  33.013.529 ,  32.964.087 ,  33.673.777 ,  33.410.167 ,  31.559.278 ,  388.472.399 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.890.320 ,  1.836.296 ,  1.900.506 ,  1.888.899 ,  1.933.034 ,  1.980.943 ,  1.998.546 ,  2.066.807 ,  2.112.487 ,  2.151.182 ,  2.081.744 ,  2.032.318 ,  23.873.082 
Nordeste,  5.505.389 ,  5.284.770 ,  5.365.906 ,  5.266.621 ,  5.436.907 ,  5.241.035 ,  5.334.190 ,  5.400.231 ,  5.461.714 ,  5.685.044 ,  5.585.549 ,  5.535.839 ,  65.103.195 
Sudeste,  17.157.633 ,  17.088.727 ,  17.293.931 ,  17.284.914 ,  17.577.262 ,  17.180.445 ,  17.451.996 ,  17.983.892 ,  17.869.017 ,  18.231.987 ,  18.164.111 ,  16.659.849 ,  209.943.764 
Sul,  5.491.078 ,  5.689.547 ,  5.723.834 ,  5.604.344 ,  5.382.338 ,  5.368.281 ,  5.419.027 ,  5.520.183 ,  5.412.749 ,  5.481.462 ,  5.441.085 ,  5.366.031 ,  65.899.959 
Centro-Oeste,  1.811.526 ,  1.831.601 ,  1.834.538 ,  1.907.878 ,  1.970.422 ,  1.972.284 ,  1.946.593 ,  2.042.416 ,  2.108.120 ,  2.124.102 ,  2.137.678 ,  1.965.241 ,  23.652.399 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  643.748 ,  632.555 ,  643.022 ,  652.059 ,  674.466 ,  677.641 ,  675.002 ,  731.190 ,  754.347 ,  740.672 ,  754.472 ,  704.255 ,  8.283.429 
Norte,  2.176.344 ,  2.062.095 ,  2.169.060 ,  2.116.218 ,  2.173.036 ,  2.211.338 ,  2.273.269 ,  2.297.754 ,  2.310.179 ,  2.385.308 ,  2.278.183 ,  2.270.448 ,  26.723.232 
Nordeste,  4.589.009 ,  4.439.813 ,  4.467.010 ,  4.400.292 ,  4.535.807 ,  4.346.576 ,  4.398.138 ,  4.451.699 ,  4.524.420 ,  4.722.599 ,  4.646.554 ,  4.604.250 ,  54.126.167 
Sudeste/C.Oeste,  18.955.767 ,  18.906.931 ,  19.115.789 ,  19.179.743 ,  19.534.316 ,  19.139.152 ,  19.384.916 ,  20.012.703 ,  19.962.392 ,  20.343.736 ,  20.289.873 ,  18.614.294 ,  233.439.612 
Sul,  5.491.078 ,  5.689.547 ,  5.723.834 ,  5.604.344 ,  5.382.338 ,  5.368.281 ,  5.419.027 ,  5.520.183 ,  5.412.749 ,  5.481.462 ,  5.441.085 ,  5.366.031 ,  65.899.959 
,,,,,,,,,,,,,
,2007,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  30.699.704 ,  30.324.669 ,  31.312.900 ,  32.030.744 ,  31.382.917 ,  30.766.760 ,  30.500.299 ,  31.181.133 ,  31.735.736 ,  32.135.735 ,  32.654.491 ,  32.304.926 ,  377.030.014 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.833.708 ,  1.752.986 ,  1.820.537 ,  1.832.867 ,  1.889.427 ,  1.899.318 ,  1.912.792 ,  1.950.708 ,  1.964.607 ,  2.006.525 ,  1.995.582 ,  1.991.017 ,  22.850.074 
Nordeste,  5.184.828 ,  4.883.152 ,  4.985.447 ,  5.117.947 ,  5.132.742 ,  5.079.581 ,  5.131.886 ,  5.212.952 ,  5.148.024 ,  5.440.994 ,  5.502.715 ,  5.546.780 ,  62.367.048 
Sudeste,  16.699.870 ,  16.615.359 ,  17.288.542 ,  17.761.372 ,  17.290.528 ,  16.890.489 ,  16.589.542 ,  16.970.732 ,  17.585.510 ,  17.488.650 ,  17.983.265 ,  17.621.312 ,  206.785.171 
Sul,  5.203.429 ,  5.351.937 ,  5.424.059 ,  5.404.659 ,  5.219.841 ,  5.114.607 ,  5.056.898 ,  5.194.645 ,  5.157.841 ,  5.240.394 ,  5.294.910 ,  5.333.163 ,  62.996.383 
Centro-Oeste,  1.777.869 ,  1.721.235 ,  1.794.315 ,  1.913.899 ,  1.850.379 ,  1.782.765 ,  1.809.181 ,  1.852.096 ,  1.879.754 ,  1.959.172 ,  1.878.019 ,  1.812.654 ,  22.031.338 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  610.999 ,  613.674 ,  613.844 ,  632.726 ,  637.929 ,  649.524 ,  640.495 ,  659.124 ,  690.497 ,  692.060 ,  703.637 ,  682.025 ,  7.826.534 
Norte,  2.129.379 ,  1.965.130 ,  2.091.436 ,  2.088.417 ,  2.172.209 ,  2.138.391 ,  2.187.175 ,  2.234.128 ,  2.180.370 ,  2.260.957 ,  2.221.822 ,  2.252.062 ,  25.921.476 
Nordeste,  4.293.362 ,  4.072.821 ,  4.116.069 ,  4.245.411 ,  4.227.316 ,  4.203.769 ,  4.229.714 ,  4.283.116 ,  4.255.922 ,  4.508.399 ,  4.586.600 ,  4.616.989 ,  51.639.488 
Sudeste/C.Oeste,  18.462.535 ,  18.321.107 ,  19.067.492 ,  19.659.531 ,  19.125.622 ,  18.660.469 ,  18.386.017 ,  18.810.120 ,  19.451.106 ,  19.433.925 ,  19.847.522 ,  19.420.687 ,  228.646.133 
Sul,  5.203.429 ,  5.351.937 ,  5.424.059 ,  5.404.659 ,  5.219.841 ,  5.114.607 ,  5.056.898 ,  5.194.645 ,  5.157.841 ,  5.240.394 ,  5.294.910 ,  5.333.163 ,  62.996.383 
,,,,,,,,,,,,,
,2006,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  28.880.911 ,  29.383.487 ,  29.897.828 ,  29.887.953 ,  28.925.039 ,  29.068.798 ,  29.113.809 ,  29.886.236 ,  29.916.631 ,  30.143.525 ,  30.531.121 ,  30.493.979 ,  356.129.316 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.727.932 ,  1.646.352 ,  1.741.060 ,  1.733.653 ,  1.753.959 ,  1.761.920 ,  1.812.929 ,  1.851.943 ,  1.886.314 ,  1.899.959 ,  1.871.574 ,  1.864.370 ,  21.551.966 
Nordeste,  4.913.182 ,  4.704.041 ,  4.976.022 ,  4.856.338 ,  4.793.832 ,  4.769.522 ,  4.760.160 ,  4.939.400 ,  4.950.953 ,  5.141.501 ,  5.132.731 ,  5.122.710 ,  59.060.392 
Sudeste,  15.695.620 ,  16.178.818 ,  16.273.217 ,  16.494.218 ,  15.885.835 ,  15.969.883 ,  15.981.707 ,  16.352.070 ,  16.434.266 ,  16.453.398 ,  16.722.623 ,  16.689.648 ,  195.131.302 
Sul,  4.927.600 ,  5.187.222 ,  5.211.509 ,  5.062.543 ,  4.807.141 ,  4.879.786 ,  4.847.373 ,  4.957.961 ,  4.841.502 ,  4.852.385 ,  5.043.949 ,  5.074.875 ,  59.693.847 
Centro-Oeste,  1.616.577 ,  1.667.054 ,  1.696.020 ,  1.741.200 ,  1.684.272 ,  1.687.687 ,  1.711.640 ,  1.784.863 ,  1.803.594 ,  1.796.283 ,  1.760.244 ,  1.742.376 ,  20.691.809 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  573.678 ,  572.318 ,  573.765 ,  593.409 ,  583.257 ,  597.955 ,  622.176 ,  630.911 ,  673.536 ,  659.545 ,  661.747 ,  644.481 ,  7.386.778 
Norte,  1.983.975 ,  1.845.538 ,  1.997.492 ,  1.979.413 ,  2.002.934 ,  2.006.597 ,  2.057.709 ,  2.119.573 ,  2.099.683 ,  2.156.880 ,  2.097.589 ,  2.133.465 ,  24.480.849 
Nordeste,  4.096.943 ,  3.946.336 ,  4.159.995 ,  4.031.775 ,  3.975.978 ,  3.941.536 ,  3.907.604 ,  4.055.591 ,  4.079.746 ,  4.240.865 ,  4.260.667 ,  4.224.038 ,  48.921.074 
Sudeste/C.Oeste,  17.298.716 ,  17.832.072 ,  17.955.066 ,  18.220.813 ,  17.555.728 ,  17.642.923 ,  17.678.948 ,  18.122.200 ,  18.222.163 ,  18.233.851 ,  18.467.169 ,  18.417.119 ,  215.646.768 
Sul,  4.927.600 ,  5.187.222 ,  5.211.509 ,  5.062.543 ,  4.807.141 ,  4.879.786 ,  4.847.373 ,  4.957.961 ,  4.841.502 ,  4.852.385 ,  5.043.949 ,  5.074.875 ,  59.693.847 
,,,,,,,,,,,,,
,2005,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  28.375.437 ,  27.838.481 ,  28.598.632 ,  29.355.502 ,  28.482.151 ,  28.326.182 ,  28.322.317 ,  28.764.355 ,  29.335.128 ,  29.145.312 ,  29.287.617 ,  29.505.146 ,  345.336.260 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.687.539 ,  1.619.124 ,  1.669.598 ,  1.651.887 ,  1.689.409 ,  1.692.288 ,  1.718.918 ,  1.725.457 ,  1.752.161 ,  1.796.178 ,  1.787.687 ,  1.774.268 ,  20.564.513 
Nordeste,  4.775.176 ,  4.526.038 ,  4.692.201 ,  4.675.415 ,  4.738.601 ,  4.575.215 ,  4.643.778 ,  4.739.651 ,  4.763.781 ,  4.849.539 ,  4.919.391 ,  5.005.464 ,  56.904.251 
Sudeste,  15.518.488 ,  15.157.055 ,  15.516.648 ,  16.304.408 ,  15.581.963 ,  15.633.867 ,  15.509.118 ,  15.838.517 ,  16.391.989 ,  16.074.849 ,  16.089.443 ,  16.116.894 ,  189.733.239 
Sul,  4.809.416 ,  4.966.586 ,  5.069.873 ,  4.997.008 ,  4.799.821 ,  4.760.324 ,  4.724.562 ,  4.743.659 ,  4.654.131 ,  4.668.762 ,  4.748.342 ,  4.948.743 ,  57.891.228 
Centro-Oeste,  1.584.818 ,  1.569.678 ,  1.650.311 ,  1.726.784 ,  1.672.357 ,  1.664.488 ,  1.725.940 ,  1.717.071 ,  1.773.066 ,  1.755.984 ,  1.742.754 ,  1.659.777 ,  20.243.030 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  577.924 ,  557.548 ,  568.774 ,  575.804 ,  572.979 ,  593.223 ,  604.373 ,  599.992 ,  637.941 ,  634.364 ,  639.584 ,  616.391 ,  7.178.897 
Norte,  1.890.933 ,  1.785.180 ,  1.884.709 ,  1.828.608 ,  1.905.814 ,  1.890.130 ,  1.913.978 ,  1.941.091 ,  1.914.332 ,  1.984.395 ,  1.961.498 ,  2.044.857 ,  22.945.525 
Nordeste,  4.017.487 ,  3.827.107 ,  3.936.072 ,  3.951.643 ,  3.976.608 ,  3.811.736 ,  3.873.385 ,  3.953.202 ,  3.993.510 ,  4.056.077 ,  4.133.521 ,  4.144.831 ,  47.675.176 
Sudeste/C.Oeste,  17.079.676 ,  16.702.060 ,  17.139.204 ,  18.002.439 ,  17.226.929 ,  17.270.770 ,  17.206.020 ,  17.526.411 ,  18.135.214 ,  17.801.714 ,  17.804.672 ,  17.750.325 ,  209.645.434 
Sul,  4.809.416 ,  4.966.586 ,  5.069.873 ,  4.997.008 ,  4.799.821 ,  4.760.324 ,  4.724.562 ,  4.743.659 ,  4.654.131 ,  4.668.762 ,  4.748.342 ,  4.948.743 ,  57.891.228 
,,,,,,,,,,,,,
,2004,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,  26.978.358 ,  26.508.171 ,  27.284.329 ,  28.046.182 ,  27.244.506 ,  27.082.961 ,  27.346.005 ,  27.656.858 ,  28.232.451 ,  28.556.121 ,  28.367.124 ,  28.562.106 ,  331.865.174 
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,  1.574.434 ,  1.507.449 ,  1.574.177 ,  1.598.862 ,  1.625.479 ,  1.641.382 ,  1.665.003 ,  1.729.896 ,  1.687.157 ,  1.724.167 ,  1.719.638 ,  1.740.621 ,  19.788.264 
Nordeste,  4.457.112 ,  4.139.768 ,  4.372.743 ,  4.461.999 ,  4.423.585 ,  4.409.302 ,  4.376.174 ,  4.438.515 ,  4.570.030 ,  4.657.881 ,  4.708.465 ,  4.770.510 ,  53.786.084 
Sudeste,  14.929.524 ,  14.714.714 ,  14.903.796 ,  15.501.323 ,  14.906.629 ,  14.898.517 ,  15.094.285 ,  15.189.575 ,  15.593.686 ,  15.839.877 ,  15.804.794 ,  15.750.648 ,  183.127.368 
Sul,  4.510.113 ,  4.690.228 ,  4.898.770 ,  4.873.311 ,  4.723.026 ,  4.556.564 ,  4.598.793 ,  4.653.182 ,  4.654.412 ,  4.590.698 ,  4.529.419 ,  4.665.214 ,  55.943.730 
Centro-Oeste,  1.507.174 ,  1.456.013 ,  1.534.844 ,  1.610.687 ,  1.565.788 ,  1.577.197 ,  1.611.750 ,  1.645.690 ,  1.727.167 ,  1.743.499 ,  1.604.807 ,  1.635.114 ,  19.219.728 
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados,  537.166 ,  515.912 ,  525.472 ,  538.284 ,  536.325 ,  539.350 ,  552.988 ,  559.477 ,  583.883 ,  605.454 ,  598.479 ,  603.585 ,  6.696.375 
Norte,  1.795.207 ,  1.707.571 ,  1.815.858 ,  1.813.828 ,  1.864.450 ,  1.855.965 ,  1.880.414 ,  1.955.055 ,  1.877.032 ,  1.934.411 ,  1.895.129 ,  1.921.259 ,  22.316.179 
Nordeste,  3.719.427 ,  3.444.707 ,  3.629.040 ,  3.733.031 ,  3.671.927 ,  3.678.192 ,  3.633.964 ,  3.680.492 ,  3.823.780 ,  3.870.290 ,  3.961.921 ,  4.011.821 ,  44.858.591 
Sudeste/C.Oeste,  16.416.445 ,  16.149.752 ,  16.415.190 ,  17.087.728 ,  16.448.778 ,  16.452.891 ,  16.679.846 ,  16.808.652 ,  17.293.345 ,  17.555.268 ,  17.382.177 ,  17.360.226 ,  202.050.298 
Sul,  4.510.113 ,  4.690.228 ,  4.898.770 ,  4.873.311 ,  4.723.026 ,  4.556.564 ,  4.598.793 ,  4.653.182 ,  4.654.412 ,  4.590.698 ,  4.529.419 ,  4.665.214 ,  55.943.730 