ano,Estado,pib
2004,RO,11004641436
2005,RO,12511821181
2006,RO,13054713344
2007,RO,14438376499
2008,RO,17285541726
2009,RO,19725009504
2010,RO,23907886882
2011,RO,27574714379
2012,RO,30112720320
2013,RO,31121412531
2014,RO,34030981973
2015,RO,36563332700
2016,RO,39460358978
2017,RO,43516147492
2018,RO,44913978486
2019,RO,47091335805
2020,RO,51598741456
2004,AC,3784002575
2005,AC,4300581271
2006,AC,4661806953
2007,AC,5458172173
2008,AC,6410254679
2009,AC,7407821405
2010,AC,8342355523
2011,AC,8949433758
2012,AC,10137924705
2013,AC,11473930166
2014,AC,13458697630
2015,AC,13622801799
2016,AC,13754239978
2017,AC,14272940594
2018,AC,15331122590
2019,AC,15630016942
2020,AC,16476370837
2004,AM,31090695798
2005,AM,33980876529
2006,AM,39933212635
2007,AM,43479773086
2008,AM,48115264642
2009,AM,50559839676
2010,AM,60877122684
2011,AM,70734401222
2012,AM,72242700676
2013,AM,83051232958
2014,AM,86668643770
2015,AM,86568184233
2016,AM,89039781991
2017,AM,93240190919
2018,AM,100109235068
2019,AM,108181090996
2020,AM,116019139386
2004,RR,2822756978
2005,RR,3193430415
2006,RR,3802452111
2007,RR,4203302125
2008,RR,4841862423
2009,RR,5671974582
2010,RR,6639150477
2011,RR,7303719268
2012,RR,7711467115
2013,RR,9010725277
2014,RR,9744122309
2015,RR,10242905137
2016,RR,11013237213
2017,RR,12104709147
2018,RR,13369987723
2019,RR,14292227131
2020,RR,16024275696
2004,PA,37272725891
2005,PA,40522893486
2006,PA,45983026806
2007,PA,51846876319
2008,PA,60956978232
2009,PA,61665095568
2010,PA,82684517799
2011,PA,98710735865
2012,PA,107080880914
2013,PA,121224846594
2014,PA,124584945023
2015,PA,130899505115
2016,PA,138107514257
2017,PA,155232403793
2018,PA,161349602045
2019,PA,178376983522
2020,PA,215935603795
2004,AP,3824739763
2005,AP,4306410130
2006,AP,5280821943
2007,AP,6012522851
2008,AP,6950413077
2009,AP,7490655556
2010,AP,8237795351
2011,AP,9409228041
2012,AP,11130867802
2013,AP,12763486218
2014,AP,13400283590
2015,AP,13861293272
2016,AP,14342135081
2017,AP,15481908326
2018,AP,16795206668
2019,AP,17496661074
2020,AP,18469114505
2004,TO,7251579977
2005,TO,7707339683
2006,TO,8655613320
2007,TO,10192843991
2008,TO,12116393284
2009,TO,13689804411
2010,TO,16404816089
2011,TO,18345687727
2012,TO,20684429940
2013,TO,23796656415
2014,TO,26189322646
2015,TO,28930290798
2016,TO,31584816193
2017,TO,34108131985
2018,TO,35666183075
2019,TO,39355941217
2020,TO,43649803218
2004,MA,22127131812
2005,MA,25104209286
2006,MA,29710643030
2007,MA,30730865778
2008,MA,37932402170
2009,MA,40994570650
2010,MA,46309633109
2011,MA,52143535326
2012,MA,60490108518
2013,MA,67694844541
2014,MA,76842027644
2015,MA,78475993839
2016,MA,85310038137
2017,MA,89542757307
2018,MA,98179495640
2019,MA,97339938019
2020,MA,106915961558
2004,PI,9406460753
2005,PI,10711834495
2006,PI,13360478492
2007,PI,13736084546
2008,PI,16203339851
2009,PI,18946449329
2010,PI,22269149135
2011,PI,25941362396
2012,PI,28637684706
2013,PI,31283593019
2014,PI,37723496640
2015,PI,39149685744
2016,PI,41416936734
2017,PI,45365541026
2018,PI,50378417554
2019,PI,52780784685
2020,PI,56391257063
2004,CE,36890816202
2005,CE,41059459215
2006,CE,46500320740
2007,CE,50818749012
2008,CE,60415573673
2009,CE,67199958045
2010,CE,79336299281
2011,CE,89695828420
2012,CE,96973752889
2013,CE,109036556353
2014,CE,126054471625
2015,CE,130629848526
2016,CE,138422520662
2017,CE,147921533985
2018,CE,155903824752
2019,CE,163575327180
2020,CE,166914535664
2004,RN,17252398422
2005,RN,19966918075
2006,RN,22890123700
2007,RN,26318258516
2008,RN,28898860488
2009,RN,30941053635
2010,RN,36184502368
2011,RN,40992924913
2012,RN,46412208354
2013,RN,51518456550
2014,RN,54022583912
2015,RN,57250866829
2016,RN,59677388846
2017,RN,64305995062
2018,RN,66969562002
2019,RN,71336780166
2020,RN,71577106819
2004,PB,15757831545
2005,PB,17557226323
2006,PB,20838016360
2007,PB,22909811457
2008,PB,26889573077
2009,PB,30230406110
2010,PB,33522491694
2011,PB,37109136669
2012,PB,42488349200
2013,PB,46377299274
2014,PB,52936483065
2015,PB,56141890254
2016,PB,59104781396
2017,PB,62396775525
2018,PB,64373595373
2019,PB,67986073550
2020,PB,70292034110
2004,PE,44982684107
2005,PE,50240325202
2006,PE,55485293016
2007,PE,62459325003
2008,PE,70413938532
2009,PE,79760958068
2010,PE,97189760476
2011,PE,110161558964
2012,PE,127989043344
2013,PE,141150251796
2014,PE,155142647932
2015,PE,156963667544
2016,PE,167345031244
2017,PE,181609500842
2018,PE,186351975251
2019,PE,197853378471
2020,PE,193307317290
2004,AL,14044907468
2005,AL,15484521444
2006,AL,17395670950
2007,AL,19871265910
2008,AL,22262294595
2009,AL,24182387524
2010,AL,27133037860
2011,AL,31657320736
2012,AL,34650397469
2013,AL,37282529122
2014,AL,40974994014
2015,AL,46367210608
2016,AL,49468740909
2017,AL,52851066935
2018,AL,54413046658
2019,AL,58963728728
2020,AL,63202348928
2004,SE,13336257992
2005,SE,14430118490
2006,SE,16419797845
2007,SE,18218449648
2008,SE,21418377992
2009,SE,21707243228
2010,SE,26404893223
2011,SE,29108271857
2012,SE,32853180807
2013,SE,35335986073
2014,SE,37472431502
2015,SE,38556530458
2016,SE,38877438482
2017,SE,40711486162
2018,SE,42017981279
2019,SE,44689482882
2020,SE,45409656566
2004,BA,77931724707
2005,BA,88291882625
2006,BA,95347801942
2007,BA,109329527526
2008,BA,121667454628
2009,BA,137942480645
2010,BA,154419547376
2011,BA,166602816895
2012,BA,182572530053
2013,BA,204844273539
2014,BA,223929966172
2015,BA,245043689661
2016,BA,258738970256
2017,BA,268724090234
2018,BA,286239541110
2019,BA,293240503586
2020,BA,305320812691
2004,MG,171870933838
2005,MG,188364435580
2006,MG,212659547189
2007,MG,240355238652
2008,MG,278607619372
2009,MG,287443848047
2010,MG,351123417732
2011,MG,400124687035
2012,MG,442282829874
2013,MG,488004903011
2014,MG,516633984096
2015,MG,519331213138
2016,MG,544810468390
2017,MG,576375544684
2018,MG,614875819797
2019,MG,651872684368
2020,MG,682786116407
2004,ES,39732638403
2005,ES,47020587607
2006,ES,53463868453
2007,ES,60658394971
2008,ES,72091158094
2009,ES,69215360730
2010,ES,85310284545
2011,ES,105976222185
2012,ES,116850580542
2013,ES,117274346943
2014,ES,128783781147
2015,ES,120365979914
2016,ES,109264423093
2017,ES,113399936793
2018,ES,137020054870
2019,ES,137345595431
2020,ES,138445922361
2004,RJ,241206738200
2005,RJ,269830061004
2006,RJ,299738183009
2007,RJ,323698285517
2008,RJ,378285800318
2009,RJ,391650854275
2010,RJ,449858101109
2011,RJ,512767904769
2012,RJ,574884973130
2013,RJ,628226069362
2014,RJ,671076844311
2015,RJ,659138951833
2016,RJ,640401206447
2017,RJ,671605668055
2018,RJ,758859046865
2019,RJ,779927917084
2020,RJ,753823710636
2004,SP,652955557517
2005,SP,743042944444
2006,SP,824529299048
2007,SP,935653179992
2008,SP,1042510167945
2009,SP,1127093826121
2010,SP,1294695988452
2011,SP,1436672709019
2012,SP,1559033443696
2013,SP,1715238416566
2014,SP,1858196055494
2015,SP,1939901907118
2016,SP,2038757381630
2017,SP,2120761635108
2018,SP,2210561949467
2019,SP,2348338000290
2020,SP,2377638979835
2004,PR,123451529532
2005,PR,127464507454
2006,PR,137648310679
2007,PR,165208890958
2008,PR,185683858660
2009,PR,196675611941
2010,PR,225205254696
2011,PR,257122268525
2012,PR,285620201624
2013,PR,333481152162
2014,PR,348084190849
2015,PR,376962821632
2016,PR,401814164419
2017,PR,421497870228
2018,PR,440029402862
2019,PR,466377036431
2020,PR,487930593779
2004,SC,73618965923
2005,SC,81549243683
2006,SC,91063448624
2007,SC,103728092246
2008,SC,121477257847
2009,SC,129098535042
2010,SC,153726007373
2011,SC,174068321733
2012,SC,191794652139
2013,SC,214512241571
2014,SC,242553370851
2015,SC,249079642281
2016,SC,256754668524
2017,SC,277270236580
2018,SC,298227090046
2019,SC,323263857398
2020,SC,349275015538
2004,RS,131192206297
2005,RS,136362768609
2006,RS,147622599264
2007,RS,168009752063
2008,RS,190229822436
2009,RS,204344940204
2010,RS,241249163899
2011,RS,265056416296
2012,RS,287587018678
2013,RS,332292726085
2014,RS,357816423821
2015,RS,381992601118
2016,RS,408789528054
2017,RS,423270047295
2018,RS,457293957594
2019,RS,482464177479
2020,RS,470941846057
2004,MS,23372308186
2005,MS,23725258355
2006,MS,26667893812
2007,MS,30084765195
2008,MS,36219263039
2009,MS,39517741740
2010,MS,47270656394
2011,MS,55133162451
2012,MS,62013200885
2013,MS,69203201262
2014,MS,78950132709
2015,MS,83082554714
2016,MS,91892285159
2017,MS,96396433756
2018,MS,106969141696
2019,MS,106943246416
2020,MS,122627726080
2004,MT,33388670158
2005,MT,34257054621
2006,MT,30700164573
2007,MT,38027578413
2008,MT,49202505249
2009,MT,52693416786
2010,MT,56600955373
2011,MT,69153956735
2012,MT,79665691137
2013,MT,89212918588
2014,MT,101234520268
2015,MT,107418318632
2016,MT,123880295558
2017,MT,126845897787
2018,MT,137442852834
2019,MT,142122027969
2020,MT,178649563700
2004,GO,51103815346
2005,GO,53865112567
2006,GO,61375402643
2007,GO,71410567717
2008,GO,82417563800
2009,GO,92865743084
2010,GO,106770109478
2011,GO,121296720836
2012,GO,138757825030
2013,GO,151300175113
2014,GO,165015318467
2015,GO,173632450243
2016,GO,181759603534
2017,GO,191948301048
2018,GO,195681723991
2019,GO,208672491708
2020,GO,224126112041
2004,DF,67076505202
2005,DF,75732681210
2006,DF,84661405538
2007,DF,93404000766
2008,DF,110299557146
2009,DF,124323753082
2010,DF,144174101595
2011,DF,154568953955
2012,DF,164101336475
2013,DF,175906725532
2014,DF,197432058527
2015,DF,215612862838
2016,DF,235540044811
2017,DF,244722249337
2018,DF,254817204692
2019,DF,273613711477
2020,DF,265847334003